Year,Month,Stations,prec,tmax,tmin
2015,Month_1,sac-city,7.12,-1.4,-12.01
2015,Month_10,sac-city,54.87,17.81,4.46
2015,Month_11,sac-city,129.03,9.41,-0.65
2015,Month_12,sac-city,132.6,1.9,-5.63
2015,Month_2,sac-city,21.6,-4.86,-15.7
2015,Month_3,sac-city,22.1,10.11,-5.31
2015,Month_4,sac-city,113.79,16.39,2.91
2015,Month_5,sac-city,122.94,19.73,8.33
2015,Month_6,sac-city,136.15,25.43,14.78
2015,Month_7,sac-city,143.0,26.63,16.04
2015,Month_8,sac-city,199.39,25.0,14.3
2015,Month_9,sac-city,95.25,25.11,12.95
2016,Month_1,sac-city,10.67,-4.39,-12.74
2016,Month_10,sac-city,61.72,18.1,4.75
2016,Month_11,sac-city,30.49,12.57,-0.52
2016,Month_12,sac-city,20.83,-1.61,-11.02
2016,Month_2,sac-city,20.07,0.59,-7.38
2016,Month_3,sac-city,49.28,10.78,-1.83
2016,Month_4,sac-city,110.5,15.63,3.26
2016,Month_5,sac-city,83.31,20.7,8.64
2016,Month_6,sac-city,49.78,28.85,16.15
2016,Month_7,sac-city,127.0,27.2,17.08
2016,Month_8,sac-city,107.7,26.61,16.04
2016,Month_9,sac-city,151.64,24.59,12.3
2017,Month_1,sac-city,26.68,-1.9,-9.0
2017,Month_10,sac-city,141.48,16.51,4.8
2017,Month_11,sac-city,3.81,7.52,-4.7
2017,Month_12,sac-city,9.4,0.75,-10.57
2017,Month_2,sac-city,23.88,5.46,-5.6
2017,Month_3,sac-city,41.41,6.56,-3.57
2017,Month_4,sac-city,95.5,14.78,3.15
2017,Month_5,sac-city,148.34,20.14,7.81
2017,Month_6,sac-city,37.08,28.06,13.85
2017,Month_7,sac-city,78.74,29.29,17.22
2017,Month_8,sac-city,127.76,24.56,13.31
2017,Month_9,sac-city,63.5,25.09,11.76
2018,Month_1,sac-city,12.19,-3.84,-14.25
2018,Month_10,sac-city,64.26,14.0,1.76
2018,Month_11,sac-city,29.72,3.02,-6.96
2018,Month_12,sac-city,29.46,0.47,-8.19
2018,Month_2,sac-city,27.94,-3.31,-14.26
2018,Month_3,sac-city,37.85,5.0,-3.69
2018,Month_4,sac-city,31.75,8.35,-3.46
2018,Month_5,sac-city,87.38,24.7,11.76
2018,Month_6,sac-city,177.8,27.13,16.38
2018,Month_7,sac-city,138.94,27.53,16.38
2018,Month_8,sac-city,276.61,26.52,15.15
2018,Month_9,sac-city,121.67,25.17,12.3
2019,Month_1,sac-city,4.57,-2.83,-13.1
2019,Month_10,sac-city,98.3,13.73,1.52
2019,Month_11,sac-city,35.56,4.54,-5.52
2019,Month_12,sac-city,42.16,2.15,-8.48
2019,Month_2,sac-city,29.46,-6.45,-16.98
2019,Month_3,sac-city,44.45,2.87,-7.24
2019,Month_4,sac-city,51.56,15.22,1.44
2019,Month_5,sac-city,188.98,18.35,7.01
2019,Month_6,sac-city,132.84,26.54,14.44
2019,Month_7,sac-city,62.48,29.17,18.0
2019,Month_8,sac-city,78.49,26.54,14.67
2019,Month_9,sac-city,153.16,25.76,14.15
2020,Month_1,sac-city,22.86,-2.38,-10.97
2020,Month_10,sac-city,40.13,13.44,0.52
2020,Month_11,sac-city,41.91,11.85,-2.22
2020,Month_12,sac-city,12.45,2.41,-9.37
2020,Month_2,sac-city,13.97,0.57,-11.26
2020,Month_3,sac-city,78.75,8.87,-2.22
2020,Month_4,sac-city,26.17,14.93,0.37
2020,Month_5,sac-city,90.69,19.61,8.75
2020,Month_6,sac-city,76.97,29.33,17.11
2020,Month_7,sac-city,11.18,31.04,17.59
2020,Month_8,sac-city,50.81,30.22,15.84
2020,Month_9,sac-city,57.92,24.3,9.2
2021,Month_1,sac-city,27.7,-0.38,-9.64
2021,Month_10,sac-city,128.79,18.96,5.99
2021,Month_11,sac-city,13.72,9.72,-2.94
2021,Month_12,sac-city,13.72,4.84,-7.17
2021,Month_2,sac-city,21.85,-8.1,-16.61
2021,Month_3,sac-city,81.29,11.02,-1.31
2021,Month_4,sac-city,20.84,15.74,2.3
2021,Month_5,sac-city,88.4,20.77,9.1
2021,Month_6,sac-city,144.28,30.84,15.8
2021,Month_7,sac-city,95.0,28.93,16.82
2021,Month_8,sac-city,96.27,29.28,15.97
2021,Month_9,sac-city,55.12,27.07,11.31
2022,Month_1,sac-city,13.22,-2.37,-17.04
2022,Month_10,sac-city,19.81,18.28,1.77
2022,Month_11,sac-city,14.24,8.17,-4.78
2022,Month_12,sac-city,46.99,-3.52,-12.57
2022,Month_2,sac-city,4.07,0.54,-14.58
2022,Month_3,sac-city,27.95,8.46,-4.7
2022,Month_4,sac-city,65.03,12.63,-1.57
2022,Month_5,sac-city,91.45,22.06,9.32
2022,Month_6,sac-city,52.08,29.13,15.61
2022,Month_7,sac-city,91.7,29.73,17.05
2022,Month_8,sac-city,54.87,28.69,15.57
2022,Month_9,sac-city,43.43,25.94,10.28
2023,Month_1,sac-city,59.44,-2.24,-10.79
2023,Month_10,sac-city,93.47,17.51,4.89
2023,Month_11,sac-city,2.29,10.14,-4.07
2023,Month_12,sac-city,50.55,5.67,-4.21
2023,Month_2,sac-city,52.07,0.0,-11.13
2023,Month_3,sac-city,13.97,4.41,-5.93
2023,Month_4,sac-city,57.4,16.67,0.76
2023,Month_5,sac-city,36.07,24.8,9.52
2023,Month_6,sac-city,73.15,29.22,15.15
2023,Month_7,sac-city,69.34,28.83,15.8
2023,Month_8,sac-city,117.6,29.07,16.02
2023,Month_9,sac-city,50.8,26.74,10.48
2024,Month_1,sac-city,24.14,-4.34,-11.24
2024,Month_10,sac-city,18.04,22.44,4.85
2024,Month_11,sac-city,104.9,8.98,-1.91
2024,Month_12,sac-city,1.02,1.32,-10.9
2024,Month_2,sac-city,5.34,8.83,-4.96
2024,Month_3,sac-city,93.47,10.75,-4.0
2024,Month_4,sac-city,58.93,16.85,3.02
2024,Month_5,sac-city,156.97,22.24,9.44
2024,Month_6,sac-city,82.04,28.05,15.63
2024,Month_7,sac-city,72.64,27.67,16.06
2024,Month_8,sac-city,49.28,27.3,15.54
2024,Month_9,sac-city,29.97,28.08,11.09
